x,y,w,h
746,864,143,230
1826,562,100,167
1153,599,190,175
1232,1189,430,425
1881,1173,388,425
1849,702,235,222
960,811,148,201
2823,916,103,273
2261,742,195,198
1377,800,177,272
1752,428,119,121
1124,610,266,148
1939,840,127,264
1419,996,357,364
3148,938,100,248
2718,856,116,243
1802,1205,483,502
1150,647,264,238
1187,1141,375,505
1786,795,95,267
1818,726,303,280
1504,885,293,301
1258,726,185,198
1609,821,116,267
1324,943,322,322
1491,850,324,283
1456,697,309,169
1258,716,365,163
1406,927,380,317
1615,692,224,256
1118,1318,433,468
1889,872,127,272
1586,599,97,183
1623,346,92,82
1609,816,114,288
2005,803,127,235
2000,922,156,280
1765,594,193,143
1736,829,145,270
1295,1096,391,367
1174,763,105,222
1322,657,493,249
2177,1030,306,399
1340,747,246,249
963,787,198,267
1211,1181,396,433
1849,1075,439,439
1348,1104,404,402
1530,475,135,143
1293,848,145,275
1306,975,287,340
527,890,122,235
1385,700,232,222
1897,903,106,249
1820,874,338,328
337,930,116,248
1797,1006,261,423
1111,422,124,228
1815,879,314,296
1129,700,119,222
546,893,126,269
981,832,111,222
1620,549,269,167
1340,1078,304,372
1847,504,121,161
1171,613,103,158
1562,443,121,122
1739,1049,184,322
1572,787,90,251
957,739,190,315
1050,731,288,286
1335,1083,317,373
643,819,130,248
1955,560,153,164
1805,631,116,225
2493,832,72,277
1799,1070,378,393
823,679,174,214
2108,647,161,174
488,842,111,201
865,636,98,177
1802,689,224,193
1472,613,172,163
960,853,114,238
1145,718,187,214
2058,776,95,199
1794,700,172,206
2187,1038,174,288
2098,864,184,274
968,676,158,214
2061,924,137,307
2232,988,135,317
1702,560,279,171
2789,922,203,343
2053,866,142,235
960,745,338,208
1913,692,121,206
1578,726,195,193
884,850,126,273
1206,631,219,196
989,808,169,190
1707,724,224,195
609,829,132,233
1541,702,203,214
1538,430,121,111
1306,827,251,230
377,853,290,270
2121,1020,214,420
1240,1123,346,401
